dG,RFP/OD,GFP/OD,GFP/RFP
-6.00 ,6226.765799,5576.208178,0.895522388
-6.00 ,4866.425993,4064.981949,0.835311573
-6.00 ,6396.226415,4871.698113,0.761651917
-6.00 ,4457.249071,4513.011152,1.012510425
-6.00 ,8625,7000,0.811594203
-6.00 ,2629.032258,2983.870968,1.134969325
-6.00 ,2757.575758,3227.272727,1.17032967
-6.00 ,3491.071429,3803.571429,1.089514066
-6.00 ,4462.264151,4386.792453,0.983086681
-6.00 ,3670,3980,1.084468665
-6.00 ,4194.174757,4533.980583,1.081018519
-6.00 ,4628.318584,4221.238938,0.912045889
-6.00 ,2660.194175,2941.747573,1.105839416
-6.00 ,2829.059829,3119.65812,1.102719033
-6.00 ,3075.630252,2823.529412,0.918032787
-6.00 ,3604.477612,3111.940299,0.863354037
-6.00 ,4307.017544,4201.754386,0.975560081
-6.00 ,2905.405405,2527.027027,0.869767442
-6.00 ,4801.886792,3924.528302,0.817288802
-6.00 ,2974.576271,3262.711864,1.096866097
-6.00 ,18868.96552,11579.31034,0.61366959
-6.00 ,6173.553719,5363.636364,0.868808568
-6.00 ,6315.789474,6043.859649,0.956944444
-6.00 ,6660.550459,6100.917431,0.915977961
-6.00 ,7687.5,6312.5,0.821138211
-6.00 ,6752.475248,6207.920792,0.919354839
-6.00 ,7871.559633,6743.119266,0.856643357
-6.00 ,8420,6800,0.80760095
-6.00 ,4302.752294,4348.623853,1.010660981
-6.00 ,5386.792453,5518.867925,1.024518389
-6.00 ,5513.043478,4713.043478,0.85488959
-6.00 ,7747.663551,5672.897196,0.732207479
-6.00 ,8441.176471,6990.196078,0.828106852
-6.00 ,6896.551724,5077.586207,0.73625
-6.00 ,9544.642857,5973.214286,0.625818522
-6.00 ,6213.114754,5426.229508,0.873350923
-6.00 ,22297.87234,14308.51064,0.641698473
-6.00 ,6453.488372,6302.325581,0.976576577
-6.00 ,6619.047619,6714.285714,1.014388489
-6.00 ,6531.914894,6138.297872,0.939739414
-6.00 ,7752.688172,6516.129032,0.840499306
-6.00 ,6670.32967,6054.945055,0.907742998
-6.00 ,8451.612903,7193.548387,0.851145038
-6.00 ,8804.347826,7021.73913,0.797530864
-6.00 ,4876.28866,4597.938144,0.942917547
-6.00 ,5557.894737,5673.684211,1.020833333
-6.00 ,5933.962264,4801.886792,0.809220986
-6.00 ,8163.043478,5978.26087,0.732356858
-6.00 ,6794.117647,5823.529412,0.857142857
-6.00 ,7489.583333,5479.166667,0.731571627
-6.00 ,10078.43137,6137.254902,0.608949417
-6.00 ,5961.538462,5326.923077,0.893548387
-10.00 ,4697.478992,9907.563025,2.109123434
-10.00 ,3268.085106,6655.319149,2.036458334
-10.00 ,4265.232975,6498.207885,1.523529412
-10.00 ,4237.226277,8156.934307,1.9250646
-10.00 ,4388.235294,7639.215686,1.740840036
-10.00 ,12007.35294,20272.05882,1.688303735
-10.00 ,4400,7933.333333,1.803030303
-10.00 ,4527.881041,6933.085502,1.531198686
-10.00 ,5455.782313,7636.054422,1.399625935
-10.00 ,4623.481781,8137.651822,1.760070053
-10.00 ,3766.666667,7762.962963,2.060963618
-10.00 ,4090.225564,6969.924812,1.704044118
-10.00 ,3122.047244,6169.291339,1.976040353
-10.00 ,10949.80695,18694.98069,1.707334273
-10.00 ,4996.268657,9175.373134,1.836445108
-10.00 ,3501.915709,6938.697318,1.981400438
-10.00 ,3081.081081,6747.747748,2.19005848
-10.00 ,2594.827586,4982.758621,1.920265781
-10.00 ,3159.663866,5058.823529,1.601063829
-10.00 ,3684.210526,6982.45614,1.895238095
-10.00 ,3392.156863,6117.647059,1.803468208
-10.00 ,8427.184466,15184.46602,1.801843318
-10.00 ,3086.206897,5672.413793,1.837988827
-10.00 ,3303.571429,5267.857143,1.594594594
-10.00 ,4339.285714,6357.142857,1.465020576
-10.00 ,3893.617021,6765.957447,1.737704918
-10.00 ,3135.135135,6414.414414,2.045977011
-10.00 ,3276.785714,5714.285714,1.74386921
-10.00 ,2514.285714,4980.952381,1.981060606
-10.00 ,6737.704918,12155.7377,1.804136252
-10.00 ,3469.565217,6608.695652,1.904761905
-10.00 ,2444.444444,4880.34188,1.996503497
-10.00 ,6558.333333,11475,1.749682338
-10.00 ,4982.608696,7886.956522,1.582897033
-10.00 ,4951.923077,7653.846154,1.545631068
-10.00 ,5913.461538,9384.615385,1.58699187
-10.00 ,5583.333333,9010.416667,1.61380597
-10.00 ,14834.86239,23779.81651,1.602968459
-10.00 ,5467.28972,8878.504673,1.623931624
-10.00 ,5897.196262,8514.018692,1.443740095
-10.00 ,6607.843137,9264.705882,1.402077151
-10.00 ,5897.959184,9295.918367,1.576124567
-10.00 ,4969.69697,8757.575758,1.762195122
-10.00 ,5184.210526,8201.754386,1.582064298
-10.00 ,4099.009901,7435.643564,1.814009662
-10.00 ,12160.37736,18783.01887,1.544608223
-10.00 ,6020.618557,9577.319588,1.590753425
-10.00 ,3189.189189,5513.513514,1.72881356
-10.00 ,5846.153846,10230.76923,1.75
-10.00 ,4379.310345,7195.402299,1.643044619
-10.00 ,5313.953488,8244.186047,1.55142232
-10.00 ,5505.050505,8707.070707,1.581651376
-10.00 ,5447.916667,8656.25,1.588910134
-10.00 ,14535.35354,23313.13131,1.603891591
-10.00 ,5582.417582,8989.010989,1.610236221
-10.00 ,5464.912281,7745.614035,1.417335473
-10.00 ,6494.949495,8929.292929,1.374805599
-10.00 ,5518.867925,8528.301887,1.545299145
-10.00 ,4886.597938,8453.608247,1.729957806
-10.00 ,5546.391753,8680.412371,1.565055762
-10.00 ,3930,6990,1.778625954
-10.00 ,14166.66667,21862.7451,1.543252595
-10.00 ,6400,10076.19048,1.574404763
-10.00 ,4715.686275,7950.980392,1.686070686
0.00 ,3873.015873,3444.444444,0.889344262
0.00 ,3600,3476,0.965555556
0.00 ,2717.948718,3213.675214,1.182389937
0.00 ,3866.666667,3177.777778,0.82183908
0.00 ,3000,2943.661972,0.981220657
0.00 ,979.9196787,2670.682731,2.725409836
0.00 ,1151.079137,2712.230216,2.35625
0.00 ,2242.214533,2795.847751,1.24691358
0.00 ,7080.808081,3400.673401,0.480266286
0.00 ,1982.45614,2845.614035,1.43539823
0.00 ,2274.368231,2859.205776,1.257142857
0.00 ,1620.437956,2613.138686,1.612612613
0.00 ,9466.019417,3760.517799,0.397264957
0.00 ,5251.655629,3172.18543,0.604035309
0.00 ,6169.381107,3241.042345,0.525343189
0.00 ,3847.133758,2828.025478,0.735099338
0.00 ,2377.622378,2783.216783,1.170588235
0.00 ,1168.582375,2693.48659,2.304918034
0.00 ,3481.481481,2936.026936,0.843326886
0.00 ,5161.073826,3295.302013,0.638491547
0.00 ,4795.698925,3043.010753,0.634529148
0.00 ,2272.108844,2976.190476,1.309880239
0.00 ,1087.272727,2825.454545,2.598662208
0.00 ,6621.212121,3704.545455,0.559496568
0.00 ,2559.701493,2649.253731,1.034985422
0.00 ,2318.584071,2557.522124,1.103053435
0.00 ,1832,2456,1.340611354
0.00 ,3127.272727,2927.272727,0.936046512
0.00 ,2111.111111,2367.521368,1.12145749
0.00 ,922.4137931,2181.034483,2.364485982
0.00 ,1320.38835,2815.533981,2.132352941
0.00 ,1699.115044,2362.831858,1.390625
0.00 ,5791.304348,3200,0.552552553
0.00 ,1622.807018,2456.140351,1.513513513
0.00 ,1649.57265,2239.316239,1.357512953
0.00 ,1347.826087,2226.086957,1.651612904
0.00 ,7078.26087,3269.565217,0.461916462
0.00 ,3948.275862,2698.275862,0.683406114
0.00 ,4380.165289,2710.743802,0.618867925
0.00 ,2961.24031,2426.356589,0.819371728
0.00 ,1750,2267.241379,1.295566502
0.00 ,1116.071429,2214.285714,1.983999999
0.00 ,2957.264957,2752.136752,0.930635838
0.00 ,3610.169492,2627.118644,0.72769953
0.00 ,3325.581395,2395.348837,0.72027972
0.00 ,1635.59322,2355.932203,1.440414508
0.00 ,827.8688525,2098.360656,2.534653466
0.00 ,4190.082645,2710.743802,0.646942801
0.00 ,5195.121951,4463.414634,0.85915493
0.00 ,5011.235955,3460.674157,0.69058296
0.00 ,3675.862069,3558.62069,0.968105066
0.00 ,5161.016949,4084.745763,0.791461412
0.00 ,4047.297297,3466.216216,0.856427379
0.00 ,1443.609023,3203.007519,2.218749999
0.00 ,1769.230769,4038.461538,2.282608696
0.00 ,3037.037037,3674.074074,1.209756098
0.00 ,9219.858156,4241.134752,0.46
0.00 ,2598.290598,3786.324786,1.457236842
0.00 ,2985.507246,3478.26087,1.165048544
0.00 ,2231.343284,3335.820896,1.494983278
0.00 ,12279.27928,5162.162162,0.420396185
0.00 ,7372.413793,3937.931034,0.53414406
0.00 ,7950.35461,4035.460993,0.507582516
0.00 ,4865.079365,3793.650794,0.779771615
0.00 ,3156.462585,3306.122449,1.047413793
0.00 ,1832,3328,1.816593886
0.00 ,4479.674797,3959.349593,0.88384755
0.00 ,7448.979592,3952.380952,0.530593607
0.00 ,6631.578947,3781.954887,0.570294785
0.00 ,2915.966387,3873.94958,1.328530259
0.00 ,1478.873239,3007.042254,2.033333334
0.00 ,8632,4240,0.491195551
0.00 ,5389.473684,5021.052632,0.931640625
0.00 ,5469.387755,5163.265306,0.944029851
0.00 ,3864.864865,4108.108108,1.062937063
0.00 ,5390,4570,0.847866419
0.00 ,4130,4480,1.084745763
0.00 ,1460.869565,3417.391304,2.339285714
0.00 ,1782.178218,4009.90099,2.25
0.00 ,3132.075472,4349.056604,1.388554217
0.00 ,9653.543307,4417.322835,0.457585644
0.00 ,2747.474747,4191.919192,1.525735294
0.00 ,3076.923077,4144.230769,1.346875
0.00 ,2427.350427,3547.008547,1.461267606
0.00 ,12069.56522,4991.304348,0.413544669
0.00 ,6694.214876,4132.231405,0.617283951
0.00 ,8250,4106.060606,0.497704316
0.00 ,5111.111111,4250,0.831521739
0.00 ,3194.174757,4213.592233,1.319148936
0.00 ,1948.275862,3379.310345,1.734513274
0.00 ,4923.809524,4504.761905,0.914893617
0.00 ,7264.150943,4773.584906,0.657142857
0.00 ,6934.95935,3943.089431,0.568581477
0.00 ,3190,4450,1.394984326
0.00 ,1818.181818,4444.444444,2.444444444
0.00 ,9258.928571,4669.642857,0.504339441
-14.90 ,725.8064516,2725.806452,3.755555556
-14.90 ,509.4339623,2877.358491,5.648148149
-14.90 ,1336.538462,4038.461538,3.021582732
